rank,band,name,category,value,probability,watch_window,will_this_tool_alert_you,why,url
1,"A - high value, do not miss",Jane Street FTTP,Quant firm program,Very high,Medium,"Sep-Oct, ROLLING",Yes - named in tracked repos today,"First-year only, and the single highest-value freshman program in quant. Rolling review: slots have reportedly filled by late October, so week-one applications face the most open seats. If you do one thing this fall, do this.",https://www.janestreet.com/join-jane-street/programs-and-events/fttp/
2,"A - high value, do not miss",Discover Citadel + Discover Citadel Securities,Quant firm program,Very high,Medium,Nov/Dec - January,No - site blocks automation,"Both are freshman-eligible and marked YES in your sheet, and they are SEPARATE applications - apply to both. Citadel's sites 403 every automated client, so this tool is structurally blind to them. This is the biggest gap in the system.",https://www.citadel.com/careers/programs-and-events/
3,"A - high value, do not miss",SIG First Year Discovery Day,Quant firm program,High,Medium,Opens ~Aug-Sep; event October,Yes - named in tracked repos today,"First-year only. Note your sheet's warning: the 'for Women' Discovery Days are a different, ineligible track - make sure you are looking at the general one.",https://careers.sig.com/discovery-programs/jobs
4,"A - high value, do not miss",Explore Microsoft,Tech internship,High,Medium-high,Late summer - fall,Yes - named in tracked repos today,"A 12-week paid internship explicitly designed for first- and second-years - one of the very few real freshman SWE internships at scale, so the odds are better than the brand suggests.",https://careers.microsoft.com/v2/global/en/exploremicrosoft
5,"A - high value, do not miss",Google ASDI (formerly STEP),Tech internship,High,Medium,Early fall,Yes - named in tracked repos today,"The other flagship freshman/sophomore SWE internship. Search Google Careers for 'Associate Software Developer Intern' - it was RENAMED from STEP, so searching 'STEP' finds nothing.",https://www.google.com/about/careers/applications/jobs/results/?q=Associate%20Software%20Developer%20Intern
6,"A - high value, do not miss",NVIDIA Ignite,Tech internship,High,Medium,"Aug-Sep, deadline Oct-Nov, ROLLING",Yes - named in tracked repos today,"Aimed at current freshmen and sophomores. NVIDIA reviews on a rolling basis and closes when full, so apply early rather than at the deadline.",https://www.nvidia.com/en-us/about-nvidia/careers/university-recruiting/
7,"A - high value, do not miss","Google Student Researcher, BS/MS",Tech internship,High,Medium,"HARD DEADLINE Nov 27, 2026",Yes - named in tracked repos today,"No class-year gate - open to any enrolled bachelor's student, which is unusual and makes it one of the few research-track roles a first-year can actually win. Fixed deadline, so put it in your calendar now.",https://www.google.com/about/careers/applications/jobs/results/
8,"A - high value, do not miss",Citadel Launch,Quant firm program,High,Medium,Aug-Sep,No - site blocks automation,"Early-undergrad program, marked YES. Same Cloudflare block as the rest of Citadel - you must check this one by hand.",https://www.citadel.com/careers/programs-and-events/
9,"A - high value, do not miss",Explore HRT / Inside HRT,Quant firm program,High,Medium,Check - was closed as of last look,Yes - named in tracked repos today,"First- and second-year eligible. HRT's student page is plain HTML and this tool watches it well, so a state change here should reach you.",https://www.hudsonrivertrading.com/student-opportunities/
10,"A - high value, do not miss",AQR Early Engagement Day,Quant firm program,Medium-high,Medium,Fall,No - needs phase 3 page watching,"First- and second-year eligible. AQR's job board is fully client-rendered, so a plain fetch sees nothing - this needs phase 3 or a manual look.",https://careers.aqr.com/jobs/department/university-jobs
11,"A - high value, do not miss",UberSTAR / Capital One TEIP / LinkedIn First Play / Duolingo Thrive,Tech internship,Medium-high,Medium-high,"Dec-Jan (Uber, Capital One); check site (others)",Yes - named in tracked repos today,"The second tier of genuine underclassmen tech programs. Less prestige than Google/Microsoft, materially better odds, and all four are named in the repos this tool already tracks.",https://github.com/Jose-Gael-Cruz-Lopez/underclassmen-opportunities
12,"A - high value, do not miss",DOE SULI,Research / math,High,Medium,Summer cycle opens fall; JANUARY deadline,No - needs phase 3 page watching,"Explicitly NO class-year requirement, paid, at a national lab - one of the strongest research options genuinely open to a first-year. Not mentioned in any repo this tool tracks, so it is on you until phase 3.",https://science.osti.gov/wdts/suli/Key-Dates
13,"B - Stanford-internal, best odds",Stanford CURIS,Stanford-only,High,High,Jan 27 - Feb 10,No - needs phase 3 page watching,"Paid CS research with Stanford faculty, open to any Stanford undergrad. Competing against Stanford students only, which is a far smaller pool than any national program. The site is fully client-rendered and appears in zero tracked repos - check it yourself in January.",https://curis.stanford.edu/
14,"B - Stanford-internal, best odds",Stanford SURIM,Stanford-only,High,High,Deadline ~Feb 26,No - needs phase 3 page watching,"Summer undergraduate research in mathematics, Stanford-internal. Same argument as CURIS: small pool, real money, direct faculty contact.",https://undergradresearch.stanford.edu/
15,"B - Stanford-internal, best odds","Stanford VPUE grants (Faculty, Departmental, Small)",Stanford-only,Medium-high,Very high,Faculty Feb 15; Small grants quarterly,No - needs phase 3 page watching,"Funding, not a competition - if you have a faculty sponsor and a coherent plan, these are close to a formality. The quarterly Small Grants are the easiest money on this entire sheet. Note the Major Grant mentor letter is due Mar 8.",https://undergradresearch.stanford.edu/
16,"B - Stanford-internal, best odds",Stanford Directed Reading Program (math),Stanford-only,Medium,Very high,Start of each quarter,No - needs phase 3 page watching,"A one-on-one reading course with a grad student. Essentially uncapped, repeatable every quarter, and the single cheapest way to build a real math relationship as a first-year.",https://mathematics.stanford.edu/
17,"B - Stanford-internal, best odds",Stanford CS Section Leading (106A/B),Stanford-only,Medium-high,High,Each quarter,No - needs phase 3 page watching,"Paid, on-campus, repeatable, and a genuine credential on a quant/SWE resume. Available as soon as you have taken 106A/B - apply the very first quarter you are eligible.",https://cs198.stanford.edu/
