name,category,url,coverage,why_manual,how_to_check,when_to_check
Discover Citadel,Quant firm program,https://www.citadel.com/careers/programs-and-events/discover-citadel/,Never - blocked,Verified 2026-09-05: HTTP 403 to both a descriptive bot user-agent and a browser user-agent. Cloudflare-enforced. Defeating it would breach the spec's politeness rule.,Open in your browser and look for an Apply button.,Nov/Dec through January. This is freshman-eligible and marked YES - the single most important thing on this sheet.
Citadel programs and events,Quant firm program,https://www.citadel.com/careers/programs-and-events/,Never - blocked,"Verified 2026-09-05: HTTP 403, same Cloudflare block.",Open in your browser.,"Monthly, and weekly in Nov-Jan."
Citadel Securities programs and events,Quant firm program,https://www.citadelsecurities.com/careers/programs-and-events/,Never - blocked,"Verified 2026-09-05: HTTP 403, same Cloudflare block.",Open in your browser. Separate application from the hedge fund side - apply to both.,"Monthly, and weekly in Nov-Jan."
Citadel Datathon / Data Open,Competition,https://www.citadel.com/careers/students/datathons/,Never - blocked,Verified 2026-09-05: HTTP 403 with a Cloudflare interstitial.,Open in your browser; regional rounds are announced there.,Check quarterly.
PCMI Undergraduate Summer School,Research / math,https://www.ias.edu/pcmi,Never - blocked,Verified 2026-09-05: HTTP 403 to both user-agents.,Open ias.edu/pcmi; applications run through MathPrograms.org.,Deadline is Jan 31 - check in early January.
Putnam Competition,Competition,https://maa.org/putnam/,Never - blocked,Verified 2026-09-05: maa.org returns HTTP 403 to automated clients.,"Register through the Stanford math department, not the MAA site.",Register September-October; exam is the first Saturday of December.
Cornell Trading Competition,Competition,https://cornellquantfund.org/competition,Never - announced off-web,"The site is pollable, but announcements go out on the club's Instagram and university listservs BEFORE the page updates. By the time a diff fires you may be late.",Club Instagram plus your Traders @ Stanford channels.,Early fall. Most time-critical item on the whole list.
UChicago Trading Competition,Competition,https://tradingcompetition.uchicago.edu/,Never - announced off-web,Same pattern: listserv and social announcement precedes the page change.,Site plus Traders @ Stanford channels.,November.
Berkeley Trading Competition,Competition,https://traders.studentorg.berkeley.edu/competition/,Never - announced off-web,Social-first announcements. Note: the URL in the original spec (competition.html) is now a 404 - the site was rebuilt in Astro. This is the working URL.,Site plus club socials.,Winter; event late February.
Traders@MIT Trading Competition,Competition,https://traders.mit.edu/competition,Never - announced off-web,"Social-first announcements. Largest intercollegiate competition, so worth the manual attention.",Site plus club socials.,Winter/spring.
Georgetown Quant Club Trading Competition,Competition,https://www.georgetownquants.com/competition,Never - nothing to diff,"Verified 2026-09-05: the server drops a bot-UA connection outright, and a browser UA gets 200 with only 14 characters of text. There is nothing to diff.",Open in your browser.,Winter; event around March.
Jane Street ETC and Symposium,Quant firm program,https://www.janestreet.com/join-jane-street/programs-and-events/,Never - announced off-web,Invite-only through campus recruiting; invitations arrive by email. Verified 2026-09-05: there is no public /etc/ page (404).,Watch your Stanford email and the campus recruiting calendar.,Fall.
SIG First Year Discovery Day,Quant firm program,https://careers.sig.com/discovery-programs/jobs,Planned - phase 3,Verified 2026-09-05: 520 characters of text from a 402KB page - the listings are rendered by JavaScript. Needs a browser to watch; also partly event/invite-driven.,Open in your browser.,Opens around August-September; event in October.
Traders @ Stanford / Quant Gym,Stanford-only,,Never - announced off-web,"A club, not a web page. Entry to several competitions runs through it.",Join the mailing list and Slack/GroupMe in your first week of fall quarter.,Fall.
Stanford CURIS,Stanford-only,https://curis.stanford.edu/,Planned - phase 3,Verified 2026-09-05: 5 characters of text - the whole page is client-rendered. Needs Playwright.,Open in your browser.,January 27 - February 10.
AQR university jobs,Quant firm program,https://careers.aqr.com/jobs/department/university-jobs,Planned - phase 3,Verified 2026-09-05: zero characters of text from 62KB of HTML. Fully client-rendered.,Open in your browser.,Fall.
SLAC careers,Research / math,https://careers.slac.stanford.edu/,Planned - phase 3,Verified 2026-09-05: 4 characters of text. Client-rendered job board.,Open in your browser.,Varies.
DRW campus roles,Quant firm program,https://www.drw.com/work-at-drw/listings?filterType=campus&value=Campus,Planned - phase 3,Verified 2026-09-05: 818 characters of text; listings are client-rendered. Note the spec's URL 308-redirects to this one.,Open in your browser.,Fall.
Math REU master list,Research / math,https://sites.google.com/view/mathreu,Planned - phase 3,Verified 2026-09-05: 973 characters of text - Google Sites renders its content with JavaScript.,Open in your browser.,December through February.
Google Summer of Code,Tech internship,https://summerofcode.withgoogle.com/,Planned - phase 3,"Verified 2026-09-05: 1,885 characters - partially client-rendered, so a plain fetch sees only a fraction of the page.",Open in your browser.,Orgs announced February; applications ~Mar 16-31. Start contributing to open source NOW - pre-application contributions are the strongest predictor of selection.
The Deck Game,Competition,https://thedeckgame.com/,Never - nothing to diff,Verified 2026-09-05: the landing page yields ~28 characters of text and its sitemap lists only / and /about. Even with a browser there is essentially nothing to diff.,Open the site and its socials directly.,Check each quarter.
