source_id,tier,method,url,program_names,selector,render_js,last_success,consecutive_failures,last_attempt,signal,notes
luisae,1,github_readme,LuisaE/opportunities,LuisaE/opportunities,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Default branch is master, not main."
nuft-2027,1,github_readme,northwesternfintech/2027QuantInternships,NUFT 2027 Quant Internships,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"47 firms, no class-year tags. Company is the ## heading above each table; watch for new firm sections and new role rows."
simplify-2027,1,github_readme,SimplifyJobs/Summer2027-Internships,SimplifyJobs Summer 2027 Internships,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"1169 roles on branch dev. README uses HTML <table>, not markdown. Low signal - no class-year tagging - so filtered to the SWE and quant sections only."
underclassmen-cruz,1,github_readme,Jose-Gael-Cruz-Lopez/underclassmen-opportunities,underclassmen-opportunities (Cruz-Lopez),,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,Best-maintained underclassmen list. Explicit [OPEN]/[CLOSING SOON] status column and grad windows inline in role titles. Six tables with differing headers.
underclassmen-zapply,1,github_readme,zapplyjobs/underclassmen-internships,zapplyjobs underclassmen-internships,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,Stale but occasionally updated. Company and role are combined into a single linked Name column.
anthelioncap-ashby,2,ashby,anthelioncap,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Anthelion Capital. Verified 2026-09-11: 3 postings, 1 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
kalshi-ashby,2,ashby,kalshi,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Kalshi. Verified 2026-09-11: 44 postings, 2 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
talos-trading-ashby,2,ashby,Talos-Trading,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Talos. Verified 2026-09-11: 17 postings, 3 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
voleon-ashby,2,ashby,voleon,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Voleon. Verified 2026-09-11: 57 postings, 1 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
3red-greenhouse,2,greenhouse,3redpartners,3Red Partners,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,Verified 2026-09-11 by firm sweep against external firm lists: 8 jobs.
akunacapital-greenhouse,2,greenhouse,akunacapital,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Akuna Capital. Verified 2026-09-11: 38 postings, 9 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
aqr-greenhouse,2,greenhouse,aqr,AQR Capital,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,Verified 2026-09-11 by firm sweep against external firm lists: 54 jobs.
aquaticcapitalmanagement-greenhouse,2,greenhouse,aquaticcapitalmanagement,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Aquatic Capital. Verified 2026-09-11: 8 postings, 2 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
blackedge-greenhouse,2,greenhouse,blackedgecapital,BlackEdge Capital,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Verified 2026-09-11 independently of the agent report: 6 jobs, 2 US student (Quant Developer Intern, Quant Trader Intern - Chicago)."
bluecrest-greenhouse,2,greenhouse,bluecrestcapitalmanagement,BlueCrest Capital,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Verified 2026-09-11 independently of the agent report: 9 jobs, 0 student today."
boerboel-greenhouse,2,greenhouse,boerboeltrading,Boerboel Trading,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Verified 2026-09-11 independently of the agent report: 4 jobs, 0 student today."
chicagotrading-greenhouse,2,greenhouse,chicagotrading,Chicago Trading Company (CTC),,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,Verified 2026-09-11 by firm sweep against external firm lists: 25 jobs.
drweng-greenhouse,2,greenhouse,drweng,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"DRW. Verified 2026-09-11: 157 postings, 8 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
dvtrading-greenhouse,2,greenhouse,dvtrading,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"DV Trading. Verified 2026-09-11: 67 postings, 11 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
engineersgate-greenhouse,2,greenhouse,engineersgate,Engineers Gate,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,Verified 2026-09-11 by firm sweep against external firm lists: 7 jobs.
exoduspoint-greenhouse,2,greenhouse,exoduspoint,ExodusPoint Capital,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,Verified 2026-09-11 by firm sweep against external firm lists: 2 jobs.
fiveringsllc-greenhouse,2,greenhouse,fiveringsllc,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Five Rings. Verified 2026-09-11: 16 postings, 4 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
flowtraders-greenhouse,2,greenhouse,flowtraders,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Flow Traders. Verified 2026-09-11: 41 postings, 0 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
gelber-greenhouse,2,greenhouse,gelbergroup,Gelber Group,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,Verified 2026-09-11 by firm sweep against external firm lists: 8 jobs.
genevatrading-greenhouse,2,greenhouse,genevatrading,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Geneva Trading. Verified 2026-09-11: 10 postings, 1 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
gsacapital-greenhouse,2,greenhouse,gsacapital,GSA Capital,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Verified 2026-09-11 independently of the agent report: 9 jobs, 1 US student (Quantitative Researcher - Intern, London/New York). GSA was NOT acquired by Eisler - it converted to a proprietary firm in Nov 2021 and hires actively."
hyannisportresearch-greenhouse,2,greenhouse,hyannisportresearch,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Hyannisport Research. Verified 2026-09-11: 10 postings, 2 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
imc-greenhouse,2,greenhouse,imc,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"IMC. Verified 2026-09-11: 170 postings, 7 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
janestreet-greenhouse,2,greenhouse,janestreet,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Jane Street. Verified 2026-09-11: 230 postings, 20 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
jumpcrypto-greenhouse,2,greenhouse,jumpcrypto,Jump Crypto,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,Verified 2026-09-11 by firm sweep against external firm lists: 5 jobs.
jumptrading-greenhouse,2,greenhouse,jumptrading,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Jump Trading. Verified 2026-09-11: 106 postings, 10 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
mako-greenhouse,2,greenhouse,mako,Mako Global,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Verified 2026-09-11 independently of the agent report: 8 jobs, 0 US student today (graduate roles are Sydney/London). Watched for when a US role appears."
mangroup-greenhouse,2,greenhouse,mangroup,Man Group / AHL / Numeric,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,Verified 2026-09-11 by firm sweep against external firm lists: 53 jobs.
mavensecuritiesholdingltd-greenhouse,2,greenhouse,mavensecuritiesholdingltd,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Maven Securities. Verified 2026-09-11: 46 postings, 1 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
oldmissioncapital-greenhouse,2,greenhouse,oldmissioncapital,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Old Mission. Verified 2026-09-11: 38 postings, 3 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
optiverprivate-greenhouse,2,greenhouse,optiverprivate,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Optiver. Verified 2026-09-11: 10 postings, 1 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
optiverus-greenhouse,2,greenhouse,optiverus,Optiver US,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,Verified 2026-09-11 by firm sweep against external firm lists: 163 jobs. The `optiver` and `optiverprivate` slugs return 0 and 1; this is the live US board.
pdtpartners-greenhouse,2,greenhouse,pdtpartners,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"PDT Partners. Verified 2026-09-11: 9 postings, 2 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
point72-greenhouse,2,greenhouse,point72,Point72 / Cubist,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,Verified 2026-09-11 by firm sweep against external firm lists: 227 jobs.
quadrature-greenhouse,2,greenhouse,quadraturecapital,Quadrature Capital,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,Verified 2026-09-11 by firm sweep against external firm lists: 4 jobs.
qube-greenhouse,2,greenhouse,quberesearchandtechnologies,Qube Research & Technologies,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,Verified 2026-09-11 by firm sweep against external firm lists: 198 jobs.
radix-greenhouse,2,greenhouse,radixuniversity,Radix Trading,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Verified 2026-09-11 independently of the agent report: 8 jobs, 1 US student (Quantitative Technologist, C++ Intern - Chicago). The `radix` and `radixexperienced` slugs are the wrong board and the experienced board respectively."
schonfeld-greenhouse,2,greenhouse,schonfeld,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Schonfeld. Verified 2026-09-11: 71 postings, 13 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
sevenresearch-greenhouse,2,greenhouse,sevenresearch,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Seven Research. Verified 2026-09-11: 8 postings, 4 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
